ID sample_1 sample_2 value_1 value_2 q_value
RASAL2 C E 6.20042 4.74179 0.0111028
RASAL2-AS1 C E 0.784976 0.942284 0.842459
RASAL3 C E 0 0 1
RASD1 C E 0.597893 1.83067 0.000259295
RASD2 C E 2.7106 2.4705 0.576393
RASEF C E 0 0.0194284 1
RASGEF1A C E 0.0141561 0.036132 1
RASGEF1B C E 0 0.00656564 1
RASGEF1C C E 0.163647 0.273361 1
RASGRF1 C E 0.0174463 0.012093 1
RASGRF2 C E 0.418892 0.476836 1
RASGRF2-AS1 C E 0 0 1
RASGRP1 C E 0.191237 0.149074 1
RASGRP2 C E 0.00943609 0 1
RASGRP3 C E 0.0188959 0.0522702 1
RASGRP4 C E 0.0074021 0.0141653 1
RASIP1 C E 19.3914 16.465 0.146394
RASL10A C E 0.0685537 0.0493266 1
RASL10B C E 13.2857 4.52618 0.000259295
RASL11A C E 1.97 1.39488 0.0927851
RASL11B C E 0.0128846 0 1
RASL12 C E 0 0.0329532 1
RASSF1 C E 18.6232 11.4856 0.000259295
RASSF1-AS1 C E 1.20243 0.725394 0.710615
RASSF10 C E 0.457275 0.43499 1
RASSF2 C E 0.123079 0.0391897 1
RASSF3 C E 13.0096 12.8948 0.950559
RASSF4 C E 0.331138 0.154169 1
RASSF5 C E 3.03825 2.45967 0.130509
RASSF6 C E 0.243825 0.426213 1
RASSF7 C E 18.1042 10.5347 0.000259295
RASSF8 C E 11.3814 18.39 0.000259295
RASSF8-AS1 C E 2.75378 4.33061 0.554379
RASSF9 C E 0.282619 0.170876 1
RAVER1 C E 39.5748 27.0521 0.000259295
RAVER2 C E 6.89711 7.71986 0.80038
RAX C E 0 0 1
RAX2 C E 0 0 1
RB1 C E 16.9573 16.3488 0.780729
RB1CC1 C E 11.0249 15.3929 0.000710791
RBAK C E 4.56725 6.20901 0.00583467
RBAK-RBAKDN C E 0 0.0304416 1
RBAKDN C E 0 0.0667029 1
RBBP4 C E 38.0859 21.0291 0.000259295
RBBP5 C E 15.5093 15.571 0.978104
RBBP6 C E 13.7434 13.8175 0.976811
RBBP7 C E 78.0481 61.2125 0.0145946
RBBP8 C E 14.5697 16.9046 0.203258
RBBP8NL C E 0 0 1
RBBP9 C E 15.9195 14.9219 0.609145
RBCK1 C E 29.0715 54.8561 0.000259295
RBFA C E 2.97135 2.80249 0.695362
RBFADN C E 0 0.101739 1
RBFOX1 C E 0 0 1
RBFOX2 C E 30.7699 24.4569 0.0188578
RBFOX3 C E 0.0952732 0.180743 1
RBKS C E 5.6226 5.86915 0.926211
RBL1 C E 4.33396 3.8381 0.362176
RBL2 C E 12.2136 15.8757 0.0180897
RBM10 C E 39.0195 38.6786 0.948687
RBM11 C E 0 0 1
RBM12 C E 25.8936 13.684 0.000259295
RBM12B C E 10.283 7.91782 0.0155302
RBM12B-AS1 C E 1.96714 2.13203 0.943679
RBM14 C E 38.784 22.1952 0.000259295
RBM14-RBM4 C E 17.8338 24.0317 0.644159
RBM15 C E 8.11782 6.81025 0.155504
RBM15B C E 32.2417 27.4774 0.188491
RBM17 C E 12.188 11.4735 0.649061
RBM18 C E 11.2481 16.0315 0.0275496
RBM19 C E 21.4524 15.6995 0.00171423
RBM20 C E 0.148489 0.222953 1
RBM22 C E 33.9888 26.3343 0.0129456
RBM23 C E 25.0893 20.6032 0.0791505
RBM24 C E 2.0017 1.17373 0.00209103
RBM25 C E 24.6809 19.5078 0.0218903
RBM26 C E 12.619 10.2591 0.0546711
RBM26-AS1 C E 0.0895787 0.174291 1
RBM27 C E 16.1925 12.2764 0.00677804
RBM28 C E 20.1088 16.9124 0.127248
RBM3 C E 52.5281 27.0925 0.000259295
RBM33 C E 8.10432 7.90899 0.854344
RBM34 C E 30.9743 29.7631 0.810861
RBM38 C E 32.4258 32.5762 0.972918
RBM39 C E 75.594 75.7413 0.988445
RBM4 C E 131.601 96.0069 0.0375926
RBM41 C E 4.41595 4.07138 0.627734
RBM42 C E 60.0129 52.4245 0.216638
RBM43 C E 1.06618 1.47435 0.0389819
RBM44 C E 0.0405422 0.0368484 1
RBM45 C E 6.82059 7.1426 0.775919
RBM46 C E 0 0 1
RBM47 C E 13.391 10.9034 0.0602607
RBM48 C E 8.27439 9.17261 0.47239
RBM4B C E 21.0856 23.2116 0.812462
RBM5 C E 27.8592 32.8216 0.133001
RBM5-AS1 C E 4.00648 3.64147 0.888301
RBM6 C E 27.7482 32.1783 0.196511
RBM7 C E 11.3282 8.20367 0.00832796
RBM8A C E 20.5106 19.1853 0.852913
RBMS1 C E 22.1861 19.4199 0.226401
RBMS2 C E 8.18352 8.18454 0.999426
RBMS3 C E 0.865115 0.577502 0.160356
RBMS3-AS1 C E 0 0 1
RBMS3-AS3 C E 0.107986 0.0287717 1
RBMX C E 138.13 89.6303 0.000259295
RBMX2 C E 23.2707 20.466 0.308935
RBMXL1 C E 4.95349 5.30809 0.688546
RBMXL2 C E 0 0 1
RBMXL3 C E 0 0 1
RBMY1A1 C E 0 0 1
RBMY1A3P C E 0 0 1
RBMY1B C E 0 0 1
RBMY1D C E 0 0 1
RBMY1E C E 0 0 1
RBMY1F C E 0 0 1
RBMY1J C E 0 0 1
RBMY2EP C E 0 0 1
RBMY2FP C E 0 0 1
RBMY3AP C E 0 0 1
RBP1 C E 0 0 1
RBP2 C E 0 0 1
RBP3 C E 0.0474531 0.0192458 1
RBP4 C E 0.57054 0.353712 1
RBP5 C E 0.728882 0.611587 0.699291
RBP7 C E 0 0 1
RBPJ C E 11.6411 13.556 0.170654
RBPJL C E 0 0 1
RBPMS C E 14.664 13.105 0.442429
RBPMS-AS1 C E 0.23584 0.4801 1
RBPMS2 C E 9.49226 6.99718 0.0115351
RBSN C E 15.1463 20.2519 0.0202548
RBX1 C E 61.6727 49.6468 0.0553617
RC3H1 C E 2.87873 2.83547 0.920525
RC3H2 C E 22.8913 25.5333 0.334277
RCAN1 C E 13.6505 18.4408 0.00615355
RCAN2 C E 0.00611618 0.078112 1
RCAN3 C E 6.88099 6.89553 0.989166
RCAN3AS C E 0.468591 0.410048 1
RCBTB1 C E 4.48461 8.66551 0.000259295
RCBTB2 C E 1.28837 1.73779 0.0594446
RCC1 C E 51.8442 30.322 0.000259295
RCC2 C E 106.747 68.1601 0.000259295
RCCD1 C E 9.43385 7.81089 0.12733
RCE1 C E 38.2992 42.4084 0.450401
RCHY1 C E 2.78289 3.06747 0.498926
RCL1 C E 12.8015 11.4338 0.386982
RCN1 C E 111.745 118.15 0.62888
RCN2 C E 64.9923 109.515 0.000259295
RCN3 C E 0.41446 0.587477 0.271101
RCOR1 C E 26.8953 20.6733 0.00615355
RCOR2 C E 1.43768 0.85001 0.00403155
RCOR3 C E 9.48942 10.4905 0.504376
RCSD1 C E 0.0147327 0 1
RCVRN C E 0.067784 0 1
RD3 C E 0 0 1
RD3L C E 0 0 1
RDH10 C E 3.74981 6.77492 0.000259295
RDH10-AS1 C E 0.0446993 0.0436257 1
RDH11 C E 33.1633 41.4463 0.0285247
RDH12 C E 0.0264473 0.167663 1
RDH13 C E 8.62189 6.47785 0.0215259
RDH14 C E 16.0542 18.3077 0.310049
RDH16 C E 0.0150166 0.0117089 1
RDH5 C E 0.198415 0.147851 1
RDH8 C E 0 0 1
RDM1 C E 0.904964 0.750288 0.615589
RDX C E 97.7789 47.0801 0.000259295
REC114 C E 0 0.0266971 1
REC8 C E 0.291768 0.253016 1
RECK C E 2.81636 2.93533 0.793667
RECQL C E 35.7906 37.8975 0.672497
RECQL4 C E 26.7935 11.7793 0.000259295
RECQL5 C E 7.98073 10.3118 0.196599
REEP1 C E 1.19201 4.38208 0.000259295
REEP2 C E 0.510973 1.01582 0.00227367
REEP3 C E 24.2915 26.0041 0.556711
REEP4 C E 29.2345 28.4514 0.848358
REEP5 C E 35.075 41.7524 0.148127
REEP6 C E 8.77987 7.95361 0.522362
REG1A C E 0 0 1
REG1B C E 0 0 1
REG1P C E 0 0 1
REG3A C E 0.0380394 0 1
REG3G C E 0 0.0322834 1
REG4 C E 0 0 1
REL C E 2.71809 2.94601 0.556805
RELA C E 77.2698 71.4445 0.48756
RELB C E 4.81927 10.7917 0.000259295
RELL1 C E 1.39179 3.20432 0.000259295
RELL2 C E 1.03234 0.865147 0.721186
RELN C E 0.00162531 0.00159171 1
RELT C E 5.97429 5.59285 0.644554
REM1 C E 0 0 1
REM2 C E 0.225949 0.185329 1
REN C E 0.0367349 0 1
RENBP C E 0.0670992 0.0897128 1
REP15 C E 1.14072 0.996245 0.678139
REPIN1 C E 75.2737 49.8733 0.000259295
REPS1 C E 8.35971 11.3645 0.00536227
REPS2 C E 0.937638 1.67088 0.000259295
RER1 C E 32.2359 35.5624 0.445256
RERE C E 8.20278 17.1848 0.000259295
REREP3 C E 0.0408171 0.0766665 1
RERG C E 0 0.0103124 1
RERG-AS1 C E 0 0 1
RERGL C E 0.166046 0 1
RESP18 C E 0 0 1
REST C E 10.7378 12.4364 0.179017
RET C E 0 0.00313243 1
RETN C E 0 0 1
RETNLB C E 0 0 1
RETSAT C E 25.048 37.0807 0.000259295
REV1 C E 8.81328 8.06902 0.48801
REV3L C E 3.58825 3.20095 0.555882
REXO1 C E 8.48454 9.24789 0.487215
REXO1L2P C E 0 0 1
REXO2 C E 91.7229 80.4096 0.235949
REXO4 C E 19.4196 14.7903 0.417817
RFC1 C E 22.1615 17.381 0.329556
RFC2 C E 37.2623 25.2824 0.000259295
RFC3 C E 44.811 20.0624 0.000259295
RFC4 C E 65.8074 47.5012 0.119643
RFC5 C E 43.8915 29.8203 0.000259295
RFESD C E 0.964732 1.27295 0.309383
RFFL C E 6.99519 8.02951 0.397054
RFK C E 14.6755 20.2215 0.00190408
RFNG C E 8.27914 11.0948 0.0180897
RFPL1 C E 0.0178899 0.0772399 1
RFPL1S C E 0.0190283 0.0333562 1
RFPL2 C E 0 0 1
RFPL3 C E 0 0 1
RFPL3S C E 0.0693861 0.116605 1
RFPL4A C E 0 0 1
RFPL4AL1 C E 0 0 1
RFPL4B C E 0.13372 0.0104124 1
RFT1 C E 6.31898 5.88794 0.599604
RFTN1 C E 3.03545 7.67864 0.000259295
RFTN2 C E 0.0278414 0.100238 1
RFWD2 C E 20.4452 24.78 0.0754627
RFWD3 C E 28.9538 18.7006 0.000259295
RFX1 C E 4.28933 3.55635 0.134702
RFX2 C E 7.93438 7.38193 0.590994
RFX3 C E 0.279736 0.535757 1
RFX3-AS1 C E 0 0.0448793 1
RFX4 C E 0 0 1
RFX5 C E 27.439 20.196 0.000920449
RFX6 C E 0 0 1
RFX7 C E 8.34147 5.78011 0.000259295
RFX8 C E 0 0 1
RFXANK C E 43.104 43.0203 0.991744
RFXAP C E 4.481 5.64311 0.073571
RGAG1 C E 0.0267671 0.0523858 1
RGAG4 C E 0.461934 1.026 0.000259295
RGCC C E 0.0987337 0.0727674 1
RGL1 C E 1.46703 2.52997 0.000259295
RGL2 C E 0.00644458 0.00585261 1
RGL3 C E 1.93083 3.45821 0.000259295
RGL4 C E 0.672636 0.685277 0.962455
RGMA C E 0.0339421 0.033278 1
RGMB C E 2.26518 3.76039 0.000259295
RGMB-AS1 C E 0.0235495 0.117515 1
RGN C E 0 0 1
RGP1 C E 9.98812 14.0301 0.00334915
RGPD1 C E 0.185932 0.147489 1
RGPD2 C E 0.00685511 0.144463 1
RGPD3 C E 0.975417 1.30212 0.0543685
RGPD4 C E 0.0988124 0.277118 1
RGPD4-AS1 C E 0 0 1
RGPD5 C E 4.67795 8.20918 0.000259295
RGPD6 C E 1.53933 2.27242 0.209844
RGPD8 C E 0.000220584 0.154951 1
RGR C E 0 0 1
RGS1 C E 0 0 1
RGS10 C E 13.7212 12.97 0.735901
RGS11 C E 0.701209 0.3761 0.705653
RGS12 C E 1.36056 1.66317 0.22666
RGS13 C E 0 0 1
RGS14 C E 2.40693 3.45962 0.0134888
RGS16 C E 0.0935276 1.68244 0.000710791
RGS17 C E 1.02007 1.4225 0.173587
RGS18 C E 0 0 1
RGS19 C E 21.4214 14.0344 0.000259295
RGS2 C E 3.83765 6.82175 0.000259295
RGS20 C E 6.91627 5.35086 0.233125
RGS21 C E 0 0 1
RGS22 C E 0 0 1
RGS3 C E 1.19214 6.95712 0.000259295
RGS4 C E 0.116243 0 1
RGS5 C E 0.49352 1.25709 0.00190408
RGS6 C E 0.0163049 0 1
RGS7 C E 0.0516878 0 1
RGS7BP C E 0 0 1
RGS8 C E 0 0 1
RGS9 C E 0.0248176 0.0518205 1
RGS9BP C E 0.303717 0.218977 1
RGSL1 C E 0 0 1
RHAG C E 0.0225571 0.0204663 1
RHBDD1 C E 0 0 1
RHBDD2 C E 38.4222 38.1351 0.958219
RHBDD3 C E 17.194 18.4141 0.616406
RHBDF1 C E 3.36529 3.76384 0.45193
RHBDF2 C E 7.52227 11.257 0.000259295
RHBDL1 C E 1.65915 0.855535 0.00583467
RHBDL2 C E 3.60206 2.42393 0.0103957
RHBDL3 C E 0.376543 0.540658 1
RHBG C E 0 0 1
RHCE C E 0.152013 0.373331 1
RHCG C E 0.372946 0.865344 0.00519927
RHD C E 0 0.0595126 1
RHEB C E 88.3973 85.1061 0.753301
RHEBL1 C E 2.85569 9.6545 0.000259295
RHNO1 C E 63.8783 58.4643 0.748164
RHO C E 0 0 1
RHOA C E 507.451 330.468 0.000259295
RHOB C E 215.005 127.074 0.000259295
RHOBTB1 C E 10.6265 8.17768 0.0178221
RHOBTB2 C E 11.8536 15.4624 0.241252
RHOBTB3 C E 100.906 78.9055 0.00631094
RHOC C E 69.6374 62.2677 0.333227
RHOD C E 22.0233 21.2766 0.82624
RHOF C E 56.7507 92.3777 0.000259295
RHOG C E 101.079 89.1629 0.248107
RHOH C E 0.102129 0 1
RHOJ C E 0 0.00611513 1
RHOQ C E 16.5326 19.5786 0.138338
RHOT1 C E 17.5048 20.929 0.109512
RHOT2 C E 21.5235 15.7707 0.00334915
RHOU C E 1.41059 0.985131 0.0309209
RHOV C E 14.0207 4.85988 0.000259295
RHOXF1 C E 0 0 1
RHOXF1-AS1 C E 0.0118362 0.05226 1
RHOXF1P1 C E 0 0 1
RHOXF2 C E 2.18443 1.47422 0.360033
RHOXF2B C E 0.472086 0.884165 1
RHPN1 C E 4.70156 4.82841 0.86641
RHPN1-AS1 C E 1.31398 1.58695 0.367066
RHPN2 C E 9.50258 9.19672 0.823237
RIBC1 C E 0.935362 0.870021 0.834618
RIBC2 C E 3.48634 1.77763 0.000920449
RIC1 C E 3.7101 4.22251 0.342574
RIC3 C E 0.0120647 0.00703065 1
RIC8A C E 35.3409 28.6139 0.0533058
RIC8B C E 4.11958 4.5143 0.679743
RICTOR C E 10.7549 11.3759 0.653941
RIF1 C E 11.3621 9.15513 0.0387478
RIIAD1 C E 0 0 1
RILP C E 9.34559 10.648 0.337206
RILPL1 C E 7.4426 9.23679 0.165172
RILPL2 C E 17.2697 19.1117 0.430772
RIMBP2 C E 0 0 1
RIMBP3 C E 0.391704 0.6725 0.00487393
RIMBP3B C E 0.604114 0.946562 0.0059973
RIMBP3C C E 2.01421e-05 2.04907e-05 1
RIMKLA C E 0.0900047 0.326743 1
RIMKLB C E 10.5036 21.7665 0.000259295
RIMS1 C E 0 0 1
RIMS2 C E 0 0.00917601 1
RIMS3 C E 0.422777 0.773226 0.000489787
RIMS4 C E 8.4865 12.5317 0.000710791
RIN1 C E 24.7689 16.7198 0.000259295
RIN2 C E 14.1491 11.7569 0.0944958
RIN3 C E 7.55643 9.20782 0.0943298
RING1 C E 0 0 1
RINL C E 0.0644582 0.065849 1
RINT1 C E 11.079 13.1254 0.142364
RIOK1 C E 15.5704 15.9442 0.868951
RIOK2 C E 4.05937 4.37972 0.675099
RIOK3 C E 17.8175 20.6843 0.169658
RIPK1 C E 8.2068 14.3339 0.000259295
RIPK2 C E 12.5233 22.1314 0.000259295
RIPK3 C E 0 0 1
RIPK4 C E 15.1993 10.2375 0.000259295
RIPPLY1 C E 0 0 1
RIPPLY2 C E 0 0 1
RIPPLY3 C E 0.0110308 0 1
RIT1 C E 8.47955 10.7737 0.0324514
RIT2 C E 0 0 1
RITA1 C E 40.7569 27.04 0.000259295
RLBP1 C E 0 0 1
RLF C E 6.4536 6.735 0.759379
RLIM C E 23.0711 23.3384 0.92988
RLN1 C E 0 0 1
RLN2 C E 0 0 1
RLN3 C E 0 0 1
RLTPR C E 0.214375 0.269751 1
RMDN1 C E 14.5959 17.1445 0.163995
RMDN2 C E 1.64087 1.30755 0.260998
RMDN2-AS1 C E 0 0 1
RMDN3 C E 25.3446 34.0584 0.00503738
RMI1 C E 7.42405 5.03644 0.00112625
RMI2 C E 10.052 5.79992 0.000259295
RMND1 C E 9.28851 8.31967 0.425764
RMND5A C E 18.5961 21.7782 0.298053
RMND5B C E 17.9105 20.9015 0.192074
RMRP C E 56.4536 258.112 0.000259295
RMST C E 0 0 1
RNA45S5 C E 617.236 1248.26 0.000259295
RNA5-8S5 C E 0 0 1
RNASE1 C E 0 0 1
RNASE10 C E 0 0 1
RNASE11 C E 0 0 1
RNASE12 C E 0 0 1
RNASE13 C E 0 0.0282876 1
RNASE2 C E 0 0 1
RNASE3 C E 0 0 1
RNASE4 C E 2.37416 6.23495 0.000259295
RNASE6 C E 0 0 1
RNASE7 C E 0 0.0308644 1
RNASE8 C E 0 0 1
RNASE9 C E 0 0 1
RNASEH1 C E 36.7775 35.6591 0.821463
RNASEH1-AS1 C E 23.4777 9.9387 0.000259295
RNASEH2A C E 93.1118 56.917 0.000259295
RNASEH2B C E 17.1041 16.6734 0.86993
RNASEH2B-AS1 C E 0 0 1
RNASEH2C C E 46.6097 49.2489 0.701078
RNASEK C E 295.199 299.254 0.929538
RNASEK-C17orf49 C E 5.72027 7.12985 0.6798
RNASEL C E 0.80396 1.15089 0.0285247
RNASET2 C E 6.06654 9.61326 0.000920449
RND1 C E 0.0567977 0.600377 0.0716117
RND2 C E 0.0210864 0.0229804 1
RND3 C E 44.0493 41.9689 0.69939
RNF10 C E 49.8983 66.3577 0.00227367
RNF103 C E 11.3674 23.6689 0.00334915
RNF103-CHMP3 C E 0 0.449367 1
RNF11 C E 36.7505 52.6427 0.000259295
RNF111 C E 10.6575 11.2812 0.65668
RNF112 C E 0.0330081 0.10688 1
RNF113A C E 23.166 27.0964 0.435087
RNF113B C E 0 0 1
RNF114 C E 35.4149 36.2736 0.859605
RNF115 C E 11.9836 16.1402 0.665215
RNF121 C E 11.5964 10.2121 0.323069
RNF122 C E 1.75533 1.80137 0.912962
RNF123 C E 11.3135 15.6164 0.0126622
RNF125 C E 0.394889 1.46583 0.000259295
RNF126 C E 33.0611 26.9869 0.0679484
RNF126P1 C E 0 0 1
RNF128 C E 0 0 1
RNF13 C E 7.62813 12.0674 0.000259295
RNF130 C E 16.6712 26.0328 0.000259295
RNF133 C E 0 0 1
RNF135 C E 7.8396 15.5437 0.000259295
RNF138 C E 6.415 6.61023 0.846325
RNF138P1 C E 0.0956844 0.076881 1
RNF139 C E 15.9377 23.3673 0.000259295
RNF139-AS1 C E 0.185048 0.166936 1
RNF14 C E 10.7431 17.3315 0.000259295
RNF141 C E 16.0543 31.2265 0.000259295
RNF144A C E 0.0479689 0.144791 1
RNF144A-AS1 C E 0 0 1
RNF144B C E 0.830226 2.43641 0.000259295
RNF145 C E 74.6918 71.4967 0.712771
RNF146 C E 6.33391 10.2884 0.000259295
RNF148 C E 0 0 1
RNF149 C E 29.5626 25.0003 0.117091
RNF150 C E 0.0603031 0.0893755 1
RNF151 C E 0 0.0336592 1
RNF152 C E 0.0277368 0.0817525 1
RNF157 C E 0.405015 0.295511 1
RNF157-AS1 C E 0 0.00887455 1
RNF165 C E 4.22431 4.81311 0.420022
RNF166 C E 8.10756 9.4519 0.255234
RNF167 C E 93.3414 83.8923 0.332994
RNF168 C E 10.0264 9.81104 0.878936
RNF169 C E 6.0961 5.21253 0.251718
RNF17 C E 0 0.00346791 1
RNF170 C E 2.72381 3.90762 0.00334915
RNF175 C E 0 0 1
RNF180 C E 0 0 1
RNF181 C E 97.3625 71.6824 0.00503738
RNF182 C E 4.07161 2.46387 0.000259295
RNF183 C E 0 0 1
RNF185 C E 8.91246 13.8689 0.000259295
RNF186 C E 0 0 1
RNF187 C E 45.4089 87.7062 0.000259295
RNF19A C E 7.29817 10.4073 0.000710791
RNF19B C E 9.73596 19.8163 0.000259295
RNF2 C E 8.80714 8.65371 0.905541
RNF20 C E 22.3176 27.1288 0.0594446
RNF207 C E 1.93979 2.26438 0.799401
RNF208 C E 2.2757 3.04509 0.16088
RNF212 C E 8.2901 9.21207 0.462225
RNF212B C E 0.186335 0.262869 1
RNF213 C E 26.5466 15.9753 0.000259295
RNF214 C E 7.93114 6.48609 0.501028
RNF215 C E 6.19997 13.1245 0.000259295
RNF216 C E 22.814 29.5088 0.00770909
RNF216-IT1 C E 0 0 1
RNF216P1 C E 15.6474 22.9014 0.000259295
RNF217 C E 3.7817 3.98424 0.720292
RNF217-AS1 C E 0.027402 0.0359702 1
RNF219 C E 8.22944 6.92956 0.158159
RNF219-AS1 C E 0.0418157 0.0611199 1
RNF220 C E 25.5118 22.9545 0.35997
RNF222 C E 0.00735345 0.058139 1
RNF223 C E 0.334784 0.290427 1
RNF224 C E 0.592749 0.464237 0.488623
RNF225 C E 0 0.0483497 1
RNF24 C E 18.4569 18.8599 0.878684
RNF25 C E 32.3497 28.1586 0.403258
RNF26 C E 29.9673 24.7483 0.072456
RNF31 C E 18.2101 21.048 0.196384
RNF32 C E 1.29529 1.1581 0.619831
RNF34 C E 26.1434 27.6314 0.677533
RNF38 C E 3.88068 4.88867 0.0502901
RNF39 C E 0 0 1
RNF4 C E 44.3665 41.6578 0.598041
RNF40 C E 26.0416 25.9766 0.985589
RNF41 C E 11.8415 22.969 0.000259295
RNF43 C E 0.0105925 0.028029 1
RNF44 C E 12.1435 12.7997 0.690367
RNF5 C E 0 0 1
RNF5P1 C E 0 0 1
RNF6 C E 9.69177 16.6497 0.000259295
RNF7 C E 22.6639 28.938 0.0269736
RNF8 C E 4.32684 4.17409 0.810119
RNFT1 C E 14.133 18.0316 0.0322176
RNFT2 C E 1.36138 1.19853 0.518697
RNGTT C E 8.5193 9.97914 0.167439
RNH1 C E 85.7194 64.3973 0.00334915
RNLS C E 0.0293175 0 1
RNMT C E 9.99068 10.2833 0.841698
RNMTL1 C E 19.0592 15.285 0.303404
RNPC3 C E 3.23275 3.00471 0.705335
RNPEP C E 72.6605 81.0973 0.303887
RNPEPL1 C E 10.7579 15.9869 0.000259295
RNPS1 C E 71.1521 55.5903 0.0118183
RNU1-13P C E 0 0 1
RNU11 C E 0 0 1
RNU12 C E 0 0 1
RNU4ATAC C E 0 0 1
RNU5D-1 C E 0 0 1
RNU5E-1 C E 0 0 1
RNU5F-1 C E 0 0 1
RNU6-16P C E 0 0 1
RNU6-19P C E 0 0 1
RNU6-2 C E 0 0 1
RNU6-28P C E 0 0 1
RNU6-31P C E 0 0 1
RNU6-34P C E 0 0 1
RNU6-35P C E 0 0 1
RNU6-48P C E 0 0 1
RNU6-52P C E 0 0 1
RNU6-53P C E 0 0 1
RNU6-57P C E 0 0 1
RNU6-64P C E 0 0 1
RNU6-66P C E 0 0 1
RNU6-67P C E 0 0 1
RNU6-69P C E 0 0 1
RNU6-71P C E 0 0 1
RNU6-72P C E 0 0 1
RNU6-76P C E 0 0 1
RNU6-78P C E 0 0 1
RNU6-79P C E 0 0 1
RNU6-81P C E 0 0 1
RNU6-83P C E 0 0 1
RNU6ATAC C E 0 0 1
RNU86 C E 0 0 1
RNVU1-19 C E 0 0 1
RNVU1-20 C E 0 0 1
RNVU1-8 C E 0 0 1
RNY4 C E 0 0 1
RNY5 C E 0 0 1
ROBO1 C E 0.00560285 0.0142407 1
ROBO2 C E 0 0 1
ROBO3 C E 0.111539 0.165942 1
ROBO4 C E 0.0112502 0.038106 1
ROCK1 C E 11.1124 12.9687 0.15696
ROCK1P1 C E 1.2626 1.67435 0.118039
ROCK2 C E 17.6316 19.9285 0.269291
ROGDI C E 12.0959 15.7487 0.0266038
ROM1 C E 2.94966 2.43085 0.636437
ROMO1 C E 59.2544 78.6793 0.504505
ROPN1 C E 0 0 1
ROPN1B C E 0 0.0225018 1
ROPN1L C E 0.154908 0.590163 0.30888
ROPN1L-AS1 C E 0.0429715 0.147258 1
ROR1 C E 0.986356 3.04492 0.000259295
ROR1-AS1 C E 0 0.0112856 1
ROR2 C E 3.86273 1.58099 0.000259295
RORA C E 0.231669 0.643868 0.000259295
RORA-AS1 C E 0.923134 1.35273 0.50113
RORA-AS2 C E 0 0 1
RORB C E 0.00615355 0.00503987 1
RORB-AS1 C E 0 0 1
RORC C E 0.583132 0.16972 0.000710791
ROS1 C E 14.7233 4.42056 0.000259295
RP1 C E 0.0800071 0.094105 1
RP11-87M18.2 C E 0 0 1
RP1L1 C E 0.0856722 0.0986605 1
RP2 C E 8.43798 7.42171 0.300098
RP9 C E 15.4132 18.0801 0.230815
RP9P C E 5.43189 5.38078 0.964852
RPA1 C E 67.4669 47.9519 0.000259295
RPA2 C E 43.6973 35.895 0.0681441
RPA3 C E 24.3665 18.7819 0.114543
RPA4 C E 0.0656026 0 1
RPAIN C E 15.3241 21.8099 0.517414
RPAP1 C E 14.0932 9.95191 0.00112625
RPAP2 C E 8.02102 10.0386 0.126451
RPAP3 C E 18.4478 18.7092 0.917457
RPARP-AS1 C E 4.25842 3.96774 0.741089
RPE C E 19.5062 18.7276 0.764595
RPE65 C E 0 0 1
RPEL1 C E 0.142975 0.0863958 1
RPF1 C E 27.4796 27.6047 0.985957
RPF2 C E 7.8847 6.70262 0.175259
RPGR C E 1.16445 1.33923 0.474298
RPGRIP1 C E 0 0.00556648 1
RPGRIP1L C E 1.42739 1.1491 0.131895
RPH3A C E 0.00427605 0.00419101 1
RPH3AL C E 3.05744 2.45206 0.138935
RPIA C E 12.5949 10.1185 0.0757096
RPL10 C E 145.033 137.385 0.667342
RPL10A C E 682.165 597.74 0.200977
RPL10L C E 0 0 1
RPL11 C E 1347.28 887.694 0.000259295
RPL12 C E 1260.15 1199.57 0.663995
RPL13 C E 108.243 96.6028 0.266282
RPL13A C E 192.933 208.636 0.670038
RPL13AP17 C E 0 0 1
RPL13AP20 C E 3.23501 1.71852 0.0325585
RPL13AP3 C E 0 0 1
RPL13AP5 C E 776.452 615.142 0.0756258
RPL13AP6 C E 0 0 1
RPL13P5 C E 6.8771 6.85368 0.986224
RPL14 C E 751.8 559.295 0.00132463
RPL15 C E 352.756 315.099 0.278588
RPL17 C E 305.325 236.224 0.0183501
RPL17-C18orf32 C E 0.414098 0.578227 1
RPL18 C E 424.755 298.815 0.000259295
RPL18A C E 571.764 415.662 0.000259295
RPL19 C E 2299.83 1808.05 0.00832796
RPL19P12 C E 0.191302 0.192214 1
RPL21 C E 0.00147709 0.00637095 1
RPL21P28 C E 0.585335 0.276826 1
RPL21P44 C E 0.0143957 0.0370708 1
RPL22 C E 102.685 83.2268 0.0311719
RPL22L1 C E 8.51064 6.26988 0.0121055
RPL23 C E 1260.77 1057.03 0.0689158
RPL23A C E 178.182 127.987 0.00132463
RPL23AP32 C E 0.201262 0.063653 1
RPL23AP53 C E 1.66167 1.42835 0.370657
RPL23AP64 C E 0.721201 0.489537 0.851916
RPL23AP7 C E 3.70241 2.31308 0.0345202
RPL23AP82 C E 6.12017 4.13381 0.150723
RPL23AP87 C E 0.0197919 0.0635572 1
RPL23P8 C E 0.187415 0 1
RPL24 C E 529.047 386.44 0.000920449
RPL26 C E 1235.01 982.15 0.015661
RPL26L1 C E 80.9725 75.3473 0.582832
RPL27 C E 1299.07 859.893 0.000259295
RPL27A C E 172.854 163.158 0.610016
RPL28 C E 137.238 133.597 0.882553
